player,season,team,overall,attack,defense,base_overall,podium_finish,era_boost,rating_source,photo
Lothar Emmerich,1966,West Germany,81,71,56,81,Runner-up,0.0,fivethirtyeight_zstats,
Wolfgang Overath,1966,West Germany,89,81,69,80,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/overath-wolfgang.avif
Horst-Dieter Hottges,1966,West Germany,79,62,71,79,Runner-up,0.0,fivethirtyeight_zstats,
Hans Tilkowski,1966,West Germany,87,14,91,75,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/tilkowski-hans.avif
Albert Brulls,1966,West Germany,74,60,52,74,Runner-up,0.0,fivethirtyeight_zstats,
Werner Krämer,1966,West Germany,73,58,50,73,Runner-up,0.0,fivethirtyeight_zstats,
Friedel Lutz,1966,West Germany,72,54,53,72,Runner-up,0.0,fivethirtyeight_zstats,
Jairzinho,1970,Brazil,88,85,63,92,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/jairzinho.avif
Pelé,1970,Brazil,98,94,65,91,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/pel-edson.avif
Carlos Alberto Torres,1970,Brazil,90,79,78,86,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/torres-carlos-alberto.avif
Rivellino,1970,Brazil,86,82,62,86,Champion,0.0,fivethirtyeight_zstats,
Tostao,1970,Brazil,89,86,62,86,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/tosto.avif
Brito,1970,Brazil,84,67,85,85,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/brito.avif
Clodoaldo,1970,Brazil,86,80,75,83,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/clodoaldo.avif
Piazza,1970,Brazil,84,70,80,83,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/piazza-wilson.avif
Gérson,1970,Brazil,89,83,66,81,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/gerson.avif
Everaldo,1970,Brazil,83,73,77,80,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/everaldo.avif
Paulo Cesar,1970,Brazil,85,86,64,77,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/paulo-cesar.avif
Everaldo Marques Da Silva,1970,Brazil,75,56,62,75,Champion,0.0,fivethirtyeight_zstats,
Félix,1970,Brazil,84,14,86,75,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/felix.avif
Jose de Anchieta Fontana,1970,Brazil,74,55,59,74,Champion,0.0,fivethirtyeight_zstats,
Marco Antonio,1970,Brazil,73,57,54,73,Champion,0.0,fivethirtyeight_zstats,
Roberto Miranda,1970,Brazil,72,56,50,72,Champion,0.0,fivethirtyeight_zstats,
Luigi Riva,1970,Italy,90,86,69,93,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/riva-luigi.avif
Alessandro Mazzola,1970,Italy,84,78,58,84,Runner-up,0.0,fivethirtyeight_zstats,
Angelo Domenghini,1970,Italy,86,83,66,83,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/domenghini-angelo.avif
Giancarlo De Sisti,1970,Italy,86,82,69,83,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/de-sisti-giancarlo.avif
Roberto Boninsegna,1970,Italy,88,83,68,83,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/boninsegna-roberto.avif
Roberto Rosato,1970,Italy,86,72,87,82,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/rosato-roberto.avif
Giacinto Facchetti,1970,Italy,90,79,84,81,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/facchetti-giacinto.avif
Pierluigi Cera,1970,Italy,81,65,74,81,Runner-up,0.0,fivethirtyeight_zstats,
Tarcisio Burgnich,1970,Italy,88,70,88,81,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/burgnich-tarcisio.avif
Gianni Rivera,1970,Italy,92,86,62,80,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/rivera-gianni.avif
Mario Bertini,1970,Italy,78,70,66,78,Runner-up,0.0,fivethirtyeight_zstats,
Enrico Albertosi,1970,Italy,88,14,91,76,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/albertosi-enrico.avif
Communardo Niccolai,1970,Italy,72,55,53,72,Runner-up,0.0,fivethirtyeight_zstats,
Fabrizio Poletti,1970,Italy,72,55,51,72,Runner-up,0.0,fivethirtyeight_zstats,
Giuseppe Furino,1970,Italy,85,73,82,72,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/furino-giuseppe.avif
Atilio Ancheta,1970,Uruguay,87,62,86,87,4th place,0.0,fivethirtyeight_zstats,
Luis Cubilla,1970,Uruguay,86,84,57,86,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/cubilla-luis.avif
Juan Mujica,1970,Uruguay,85,79,69,85,4th place,0.0,fivethirtyeight_zstats,
Luis Ubiñas,1970,Uruguay,85,79,72,85,4th place,0.0,fivethirtyeight_zstats,
Roberto Matosas,1970,Uruguay,85,63,82,85,4th place,0.0,fivethirtyeight_zstats,
Ildo Enrique Maneiro,1970,Uruguay,83,76,65,83,4th place,0.0,fivethirtyeight_zstats,
Castillo Julio Montero,1970,Uruguay,84,72,81,80,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/castillo-julio-montero.avif
Julio Cesar Cortes,1970,Uruguay,77,68,63,77,4th place,0.0,fivethirtyeight_zstats,
Victor Esparrago,1970,Uruguay,78,64,54,78,4th place,0.0,fivethirtyeight_zstats,
Julio César Araújo Morales,1970,Uruguay,75,63,51,75,4th place,0.0,fivethirtyeight_zstats,
Dagoberto Fontes,1970,Uruguay,74,61,54,74,4th place,0.0,fivethirtyeight_zstats,
Julio Losada,1970,Uruguay,74,61,53,74,4th place,0.0,fivethirtyeight_zstats,
Ladislao Mazurkiewicz,1970,Uruguay,88,15,93,74,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/mazurkiewicz-ladislao.avif
Oscar Zubia,1970,Uruguay,73,57,53,73,4th place,0.0,fivethirtyeight_zstats,
Rúben Bareño,1970,Uruguay,73,57,51,73,4th place,0.0,fivethirtyeight_zstats,
Gerd Müller,1970,West Germany,93,83,68,94,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/muller-gerd.avif
Uwe Seeler,1970,West Germany,89,84,69,90,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/seeler-uwe.avif
Reinhard Libuda,1970,West Germany,89,85,53,89,3rd place,0.0,fivethirtyeight_zstats,
Franz Beckenbauer,1970,West Germany,95,83,85,86,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/beckenbauer-franz.avif
Wolfgang Overath,1970,West Germany,89,81,69,85,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/overath-wolfgang.avif
Berti Vogts,1970,West Germany,88,71,85,84,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/vogts-berti.avif
Jürgen Grabowski,1970,West Germany,86,84,65,84,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/grabowski-jurgen.avif
Karl-Heinz Schnellinger,1970,West Germany,88,72,88,84,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/schnellinger-karl-heinz.avif
Hannes Löhr,1970,West Germany,80,72,55,80,3rd place,0.0,fivethirtyeight_zstats,
Siegfried Held,1970,West Germany,78,69,51,78,3rd place,0.0,fivethirtyeight_zstats,
Willi Schulz,1970,West Germany,88,69,90,78,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/schulz-willi.avif
Horst-Dieter Hottges,1970,West Germany,77,58,67,77,3rd place,0.0,fivethirtyeight_zstats,
Klaus Fichtel,1970,West Germany,77,61,67,77,3rd place,0.0,fivethirtyeight_zstats,
Bernd Patzke,1970,West Germany,75,56,61,75,3rd place,0.0,fivethirtyeight_zstats,
Josef Maier,1970,West Germany,75,61,52,75,3rd place,0.0,fivethirtyeight_zstats,
Wolfgang Weber,1970,West Germany,73,56,56,73,3rd place,0.0,fivethirtyeight_zstats,
Helmut Haller,1970,West Germany,86,86,64,72,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/haller-helmut.avif
Horst Wolter,1970,West Germany,72,10,74,72,3rd place,0.0,fivethirtyeight_zstats,
Max Lorenz,1970,West Germany,72,55,52,72,3rd place,0.0,fivethirtyeight_zstats,
Rivellino,1974,Brazil,86,82,65,86,4th place,0.0,fivethirtyeight_zstats,
Jairzinho,1974,Brazil,88,85,63,85,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/jairzinho.avif
Marinho Chagas,1974,Brazil,85,81,70,84,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/chagas-marinho.avif
Marinho Peres,1974,Brazil,85,65,82,85,4th place,0.0,fivethirtyeight_zstats,
Luís Edmundo Pereira,1974,Brazil,87,76,86,83,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/luis-pereira.avif
Carpeggiani,1974,Brazil,82,69,74,82,4th place,0.0,fivethirtyeight_zstats,
Paulo Cesar,1974,Brazil,85,86,64,81,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/paulo-cesar.avif
Valdomiro,1974,Brazil,81,72,58,81,4th place,0.0,fivethirtyeight_zstats,
Ze Maria,1974,Brazil,79,61,71,79,4th place,0.0,fivethirtyeight_zstats,
Dirceu,1974,Brazil,85,84,61,76,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/dirceu.avif
Manoel Rezende de Matos Cabral,1974,Brazil,76,63,59,76,4th place,0.0,fivethirtyeight_zstats,
Piazza,1974,Brazil,84,70,80,75,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/piazza-wilson.avif
Edu,1974,Brazil,74,61,49,74,4th place,0.0,fivethirtyeight_zstats,
Leivinha,1974,Brazil,84,84,67,74,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/leivinha.avif
Leão,1974,Brazil,87,16,89,73,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/emerson-leao.avif
Mirandinha,1974,Brazil,74,58,51,74,4th place,0.0,fivethirtyeight_zstats,
Alfredo Mostarda Filho,1974,Brazil,73,55,55,73,4th place,0.0,fivethirtyeight_zstats,
Parana de Barros Ademir,1974,Brazil,72,56,51,72,4th place,0.0,fivethirtyeight_zstats,
Johan Cruyff,1974,Netherlands,96,90,64,93,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/cruyff-johan.avif
Johan Neeskens,1974,Netherlands,89,83,79,93,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/neeskens-johan.avif
Johnny Rep,1974,Netherlands,86,83,67,90,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/rep-johnny.avif
Wim Jansen,1974,Netherlands,85,78,78,86,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/jansen-wim.avif
Wim van Hanegem,1974,Netherlands,86,78,81,86,Runner-up,0.0,fivethirtyeight_zstats,
Arie Haan,1974,Netherlands,86,79,80,83,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/haan-arie.avif
Rob Rensenbrink,1974,Netherlands,87,87,64,84,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/rensenbrink-rob.avif
Ruud Krol,1974,Netherlands,91,78,85,83,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/krol-ruud.avif
Wim Suurbier,1974,Netherlands,85,76,77,83,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/suurbier-wim.avif
Wim Rijsbergen,1974,Netherlands,82,65,80,82,Runner-up,0.0,fivethirtyeight_zstats,
Piet Keizer,1974,Netherlands,74,58,51,74,Runner-up,0.0,fivethirtyeight_zstats,
Theo de Jong,1974,Netherlands,74,58,53,74,Runner-up,0.0,fivethirtyeight_zstats,
Jan Jongbloed,1974,Netherlands,85,15,87,73,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/jongbloed-jan.avif
Rene van de Kerkhof,1974,Netherlands,73,56,50,73,Runner-up,0.0,fivethirtyeight_zstats,
Rinus Israël,1974,Netherlands,85,74,88,71,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/israel-rinus.avif
Grzegorz Lato,1974,Poland,91,82,61,91,3rd place,0.0,fivethirtyeight_zstats,
Kazimierz Deyna,1974,Poland,87,87,68,89,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/deyna-kazimierz.avif
Andrzej Szarmach,1974,Poland,87,77,55,87,3rd place,0.0,fivethirtyeight_zstats,
Robert Gadocha,1974,Poland,84,84,60,86,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/gadocha-robert.avif
Jerzy Gorgon,1974,Poland,83,59,79,83,3rd place,0.0,fivethirtyeight_zstats,
Wladyslaw Zmuda,1974,Poland,85,67,86,83,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/zmuda-wladyslaw.avif
Antoni Szymanawski,1974,Poland,82,70,74,82,3rd place,0.0,fivethirtyeight_zstats,
Henryk Kasperczak,1974,Poland,82,74,62,82,3rd place,0.0,fivethirtyeight_zstats,
Zygmunt Maszczyk,1974,Poland,79,70,70,79,3rd place,0.0,fivethirtyeight_zstats,
Adam Musial,1974,Poland,78,66,69,78,3rd place,0.0,fivethirtyeight_zstats,
Jan Domarski,1974,Poland,73,58,50,73,3rd place,0.0,fivethirtyeight_zstats,
Jan Tomaszewski,1974,Poland,85,14,89,73,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/tomaszewski-jan.avif
Leslaw Cmikiewicz,1974,Poland,73,58,52,73,3rd place,0.0,fivethirtyeight_zstats,
Zbgniew Gut,1974,Poland,73,56,55,73,3rd place,0.0,fivethirtyeight_zstats,
Kazimierz Kmiecik,1974,Poland,72,55,50,72,3rd place,0.0,fivethirtyeight_zstats,
Gerd Müller,1974,West Germany,93,83,68,92,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/muller-gerd.avif
Uli Hoeness,1974,West Germany,87,85,70,92,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/hoeness-uli.avif
Paul Breitner,1974,West Germany,88,81,74,87,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/breitner-paul.avif
Franz Beckenbauer,1974,West Germany,95,83,85,87,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/beckenbauer-franz.avif
Wolfgang Overath,1974,West Germany,89,81,69,87,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/overath-wolfgang.avif
Georg Schwarzenbeck,1974,West Germany,87,70,88,86,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/schwarzenbeck-hans-georg.avif
Berti Vogts,1974,West Germany,88,71,85,84,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/vogts-berti.avif
Jürgen Grabowski,1974,West Germany,86,84,65,84,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/grabowski-jurgen.avif
Bernd Hölzenbein,1974,West Germany,81,72,66,81,Champion,0.0,fivethirtyeight_zstats,
Rainer Bonhof,1974,West Germany,87,81,81,81,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/bonhof-rainer.avif
Bernd Cullmann,1974,West Germany,77,63,62,77,Champion,0.0,fivethirtyeight_zstats,
Jupp Heynckes,1974,West Germany,75,60,53,75,Champion,0.0,fivethirtyeight_zstats,
Dieter Herzog,1974,West Germany,73,58,51,73,Champion,0.0,fivethirtyeight_zstats,
Heinz Flohe,1974,West Germany,73,58,53,73,Champion,0.0,fivethirtyeight_zstats,
Herbert Wimmer,1974,West Germany,73,56,52,73,Champion,0.0,fivethirtyeight_zstats,
Josef Maier,1974,West Germany,73,59,51,73,Champion,0.0,fivethirtyeight_zstats,
Mario Kempes,1978,Argentina,89,86,67,92,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/kempes-mario.avif
Daniel Passarella,1978,Argentina,90,79,87,90,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/passarella-daniel.avif
Jorge Olguin,1978,Argentina,87,79,81,87,Champion,0.0,fivethirtyeight_zstats,
Leopoldo Luque,1978,Argentina,85,83,64,86,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/luque-leopoldo.avif
Daniel Bertoni,1978,Argentina,85,81,55,85,Champion,0.0,fivethirtyeight_zstats,
Luis Galvan,1978,Argentina,84,62,83,84,Champion,0.0,fivethirtyeight_zstats,
Osvaldo Ardiles,1978,Argentina,88,81,67,84,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/ardiles-osvaldo.avif
Americo Gallego,1978,Argentina,82,65,78,82,Champion,0.0,fivethirtyeight_zstats,
Alberto Taranti,1978,Argentina,78,68,66,78,Champion,0.0,fivethirtyeight_zstats,
Oscar Ortiz,1978,Argentina,79,70,58,79,Champion,0.0,fivethirtyeight_zstats,
Jose Daniel Valencia,1978,Argentina,78,67,56,78,Champion,0.0,fivethirtyeight_zstats,
Rene Houseman,1978,Argentina,85,85,57,78,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/houseman-rene.avif
Omar Larrosa,1978,Argentina,73,58,51,73,Champion,0.0,fivethirtyeight_zstats,
Ricardo Villa,1978,Argentina,73,57,54,73,Champion,0.0,fivethirtyeight_zstats,
Ubaldo Fillol,1978,Argentina,89,14,91,73,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/fillol-ubaldo.avif
Norberto Alonso,1978,Argentina,71,55,50,71,Champion,0.0,fivethirtyeight_zstats,
José Oscar Bernardi,1978,Brazil,86,61,85,86,3rd place,0.0,fivethirtyeight_zstats,
Roberto Dinamite,1978,Brazil,84,69,57,84,3rd place,0.0,fivethirtyeight_zstats,
Dirceu,1978,Brazil,85,84,61,83,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/dirceu.avif
Joao Batista da Silva Batista,1978,Brazil,83,67,78,83,3rd place,0.0,fivethirtyeight_zstats,
João Justino Amaral dos Santos Amaral,1978,Brazil,81,63,75,81,3rd place,0.0,fivethirtyeight_zstats,
Mendonca,1978,Brazil,80,71,52,80,3rd place,0.0,fivethirtyeight_zstats,
Toninho,1978,Brazil,79,69,70,79,3rd place,0.0,fivethirtyeight_zstats,
Toninho Cerezo,1978,Brazil,87,81,76,78,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/toninho-cerezo.avif
