year,host_country,team,finish,difficulty,description_en,description_es,description_pt
1954,Switzerland,Hungary,Runner-up,5,"The Mighty Magyars of Puskás, the greatest team never to win it, unbeaten for years until the final.","Los Magiares Mágicos de Puskás, el mejor equipo que nunca lo ganó, invictos durante años hasta la final.","Os Magiares Mágicos de Puskás, o melhor time que nunca venceu, invictos por anos até a final."
1954,Switzerland,West Germany,Champion,5,"The Miracle of Bern: written off, they toppled the mighty Magyars in the final. Relentless team spirit.","El Milagro de Berna: dados por muertos, derribaron a los poderosos magiares en la final. Espíritu de equipo incansable.","O Milagre de Berna: dados como mortos, derrubaram os poderosos magiares na final. Espírito de equipe incansável."
1954,Switzerland,Austria,3rd place,4,"A high-scoring Austrian side, famous for a 7-5 thriller, that took third.","Una Austria goleadora, célebre por un 7-5 de locura, que se llevó el tercer puesto.","Uma Áustria goleadora, célebre por um 7 a 5 alucinante, que ficou em terceiro."
1954,Switzerland,Uruguay,4th place,4,"Still unbeaten in World Cups until this tournament; proud, combative, fourth this time.","Aún invictos en Mundiales hasta este torneo; orgullosos, combativos, cuartos esta vez.","Ainda invictos em Copas até este torneio; orgulhosos, combativos, quartos desta vez."
1958,Sweden,Brazil,Champion,5,A 17-year-old Pelé and Garrincha announce themselves; the joga bonito era begins with a first title.,Un Pelé de 17 años y Garrincha se presentan al mundo; arranca el joga bonito con el primer título.,Um Pelé de 17 anos e Garrincha se apresentam ao mundo; começa o joga bonito com o primeiro título.
1958,Sweden,Sweden,Runner-up,5,"Hosts and finalists, marshalled by veteran wingers and roared on by a home crowd.","Anfitriones y finalistas, conducidos por veteranos extremos y empujados por su gente.","Anfitriões e finalistas, conduzidos por veteranos pontas e empurrados pela torcida."
1958,Sweden,France,3rd place,4,Just Fontaine scored a record 13 goals as France's free-scoring attack took third.,Just Fontaine marcó un récord de 13 goles mientras el ataque francés se llevaba el tercer puesto.,Just Fontaine fez recordes 13 gols enquanto o ataque francês ficava em terceiro.
1958,Sweden,West Germany,4th place,4,The reigning champions fought to fourth on experience and steel.,Los campeones vigentes pelearon hasta el cuarto puesto a base de experiencia y temple.,Os campeões em exercício brigaram pelo quarto lugar na experiência e na garra.
1962,Chile,Brazil,Champion,5,"Back-to-back champions; with Pelé injured, Garrincha carried the team almost single-handed.","Bicampeones; con Pelé lesionado, Garrincha cargó al equipo casi en soledad.","Bicampeões; com Pelé lesionado, Garrincha carregou o time quase sozinho."
1962,Chile,Czechoslovakia,Runner-up,5,"Defensively superb finalists led by Masopust, hard to break down and clever on the counter.","Finalistas defensivamente soberbios liderados por Masopust, difíciles de quebrar y astutos al contragolpe.","Finalistas defensivamente soberbos liderados por Masopust, difíceis de furar e espertos no contra-ataque."
1962,Chile,Chile,3rd place,4,Hosts who rode home support to a famous third place after the brutal 'Battle of Santiago'.,Anfitriones que con el apoyo local lograron un histórico tercer puesto tras la brutal 'Batalla de Santiago'.,"Anfitriões que, com o apoio local, conquistaram um histórico terceiro lugar após a brutal 'Batalha de Santiago'."
1962,Chile,Yugoslavia,4th place,4,"Technical and stubborn, the Yugoslavs again reached the last four.","Técnicos y tozudos, los yugoslavos volvieron a meterse entre los cuatro mejores.","Técnicos e teimosos, os iugoslavos voltaram a alcançar as quatro melhores."
1966,England,England,Champion,5,"Hosts and champions on Wembley's turf, powered by the Charlton brothers and Hurst's final hat-trick.","Anfitriones y campeones en Wembley, con los hermanos Charlton y el triplete de Hurst en la final.","Anfitriões e campeões em Wembley, com os irmãos Charlton e o hat-trick de Hurst na final."
1966,England,West Germany,Runner-up,5,"Young, athletic finalists with a teenage Beckenbauer hinting at greatness to come.",Finalistas jóvenes y atléticos con un Beckenbauer adolescente que anticipaba la grandeza por venir.,Finalistas jovens e atléticos com um Beckenbauer adolescente prenunciando a grandeza que viria.
1966,England,Portugal,3rd place,4,"Eusébio's Portugal lit up the tournament, roaring back from 3-0 down to beat North Korea on the way to third.","El Portugal de Eusébio iluminó el torneo, remontando un 0-3 ante Corea del Norte rumbo al tercer puesto.","O Portugal de Eusébio iluminou o torneio, virando um 0-3 sobre a Coreia do Norte rumo ao terceiro lugar."
1966,England,Soviet Union,4th place,4,"Backed by the legendary keeper Lev Yashin, a powerful, organised side that finished fourth.","Con el legendario arquero Lev Yashin, un equipo poderoso y ordenado que terminó cuarto.","Com o lendário goleiro Lev Yashin, uma seleção poderosa e organizada que terminou em quarto."
1970,Mexico,Brazil,Champion,5,"Widely called the greatest team ever: Pelé, Jairzinho, Tostão and Carlos Alberto playing football from another planet.","Considerado el mejor equipo de la historia: Pelé, Jairzinho, Tostão y Carlos Alberto jugando a otra cosa.","Considerado o melhor time da história: Pelé, Jairzinho, Tostão e Carlos Alberto jogando de outro planeta."
1970,Mexico,Italy,Runner-up,5,Catenaccio finalists who survived the epic 4-3 'Game of the Century' before meeting the Brazil juggernaut.,Finalistas del catenaccio que sobrevivieron al épico 4-3 'Partido del Siglo' antes de chocar con el rodillo brasileño.,Finalistas do catenaccio que sobreviveram ao épico 4-3 'Jogo do Século' antes de encarar o rolo compressor brasileiro.
1970,Mexico,Uruguay,4th place,4,"Gritty and defensively tough as ever, La Celeste reached the semifinals once more.","Aguerridos y defensivamente duros como siempre, La Celeste volvió a meterse en semifinales.","Aguerridos e defensivamente duros como sempre, a Celeste voltou às semifinais."
1970,Mexico,West Germany,3rd place,4,Beckenbauer played on with a dislocated shoulder; Gerd Müller's goals carried them to third.,Beckenbauer jugó con el hombro dislocado; los goles de Gerd Müller los llevaron al tercer puesto.,Beckenbauer jogou com o ombro deslocado; os gols de Gerd Müller os levaram ao terceiro lugar.
1974,West Germany,Netherlands,Runner-up,5,Cruyff and Total Football mesmerised the world; the most beautiful team to lose a final.,Cruyff y el Fútbol Total hipnotizaron al mundo; el equipo más hermoso en perder una final.,Cruyff e o Futebol Total hipnotizaram o mundo; o time mais bonito a perder uma final.
1974,West Germany,West Germany,Champion,5,Hosts and champions: Beckenbauer's elegance and Müller's killer instinct beat Total Football in the final.,Anfitriones y campeones: la elegancia de Beckenbauer y el olfato de Müller vencieron al Fútbol Total en la final.,Anfitriões e campeões: a elegância de Beckenbauer e o faro de Müller venceram o Futebol Total na final.
1974,West Germany,Brazil,4th place,4,"Champions in transition, more physical without Pelé, finishing fourth in a rugged campaign.","Campeones en transición, más físicos sin Pelé, cuartos en una campaña áspera.","Campeões em transição, mais físicos sem Pelé, em quarto numa campanha dura."
1974,West Germany,Poland,3rd place,4,"Golden-era Poland of Lato and Deyna, fast and direct, surprised everyone to take third.","La Polonia dorada de Lato y Deyna, rápida y directa, sorprendió a todos con el tercer puesto.","A Polônia dourada de Lato e Deyna, rápida e direta, surpreendeu todos com o terceiro lugar."
1978,Argentina,Argentina,Champion,5,Hosts and champions amid streamers and roar; Mario Kempes' goals delivered a first star.,Anfitriones y campeones entre papelitos y rugidos; los goles de Mario Kempes trajeron la primera estrella.,Anfitriões e campeões em meio a papel picado e gritaria; os gols de Mario Kempes trouxeram a primeira estrela.
1978,Argentina,Netherlands,Runner-up,5,"Total Football's second straight final, again as runners-up, even without the absent Cruyff.","La segunda final consecutiva del Fútbol Total, otra vez subcampeones, incluso sin el ausente Cruyff.","A segunda final seguida do Futebol Total, de novo vice, mesmo sem o ausente Cruyff."
1978,Argentina,Brazil,3rd place,4,"Unbeaten yet eliminated, a proud Brazil settled for third feeling robbed.","Invictos pero eliminados, un Brasil orgulloso se conformó con el tercero sintiéndose perjudicado.","Invictos mas eliminados, um Brasil orgulhoso ficou com o terceiro se sentindo roubado."
1978,Argentina,Italy,4th place,4,"Stylish and rising, the young Azzurri took fourth and signalled the title to come in 1982.","Vistosos y en ascenso, los jóvenes Azzurri fueron cuartos y anticiparon el título de 1982.","Vistosos e em ascensão, os jovens Azzurri ficaram em quarto e anteciparam o título de 1982."
1982,Spain,Italy,Champion,5,Slow starters who exploded into champions; Paolo Rossi went from doubted to golden boot and a third star.,De arranque lento a campeones; Paolo Rossi pasó de cuestionado a botín de oro y la tercera estrella.,De início lento a campeões; Paolo Rossi saiu de questionado a artilheiro e a terceira estrela.
1982,Spain,West Germany,Runner-up,5,"Ruthless finalists, scarred by the notorious semifinal shootout and Schumacher's brutal challenge.","Finalistas implacables, marcados por la célebre semifinal por penales y el brutal choque de Schumacher.","Finalistas implacáveis, marcados pela célebre semifinal nos pênaltis e a brutal entrada de Schumacher."
1982,Spain,France,4th place,4,"Platini's beautiful midfield broke hearts in Seville, falling on penalties; fourth, but unforgettable.","El bello mediocampo de Platini se rompió en Sevilla, cayendo por penales; cuartos, pero inolvidables.","O belo meio-campo de Platini se partiu em Sevilha, caindo nos pênaltis; quartos, mas inesquecíveis."
1982,Spain,Poland,3rd place,4,Boniek inspired another strong Polish run to third place.,Boniek inspiró otra gran campaña polaca hasta el tercer puesto.,Boniek inspirou mais uma grande campanha polonesa até o terceiro lugar.
1986,Mexico,Argentina,Champion,5,Maradona's masterpiece. He dragged a whole nation to glory with the Hand of God and the Goal of the Century.,La obra maestra de Maradona. Cargó a todo un país hasta la gloria con la Mano de Dios y el Gol del Siglo.,A obra-prima de Maradona. Carregou um país inteiro à glória com a Mão de Deus e o Gol do Século.
1986,Mexico,West Germany,Runner-up,5,Resilient finalists who clawed back two goals before Maradona's magic settled it.,Finalistas resilientes que empataron dos goles antes de que la magia de Maradona lo definiera.,Finalistas resilientes que buscaram dois gols antes de a magia de Maradona decidir.
1986,Mexico,Belgium,4th place,4,"A surprise semifinal run, the Red Devils punching far above their weight to fourth.","Una sorpresiva campaña hasta semifinales; los Diablos Rojos rindieron muy por encima de lo esperado, cuartos.","Uma surpreendente campanha até as semifinais; os Diabos Vermelhos renderam muito acima do esperado, quartos."
1986,Mexico,France,3rd place,4,"Platini's golden generation peaked at third, finally beating Brazil in a classic shootout.","La generación dorada de Platini culminó tercera, venciendo por fin a Brasil en un clásico por penales.","A geração dourada de Platini culminou em terceiro, enfim batendo o Brasil num clássico nos pênaltis."
1990,Italy,Argentina,Runner-up,5,"Maradona, half-fit, dragged a defensive, cynical side to the final through penalty drama.","Maradona, a media máquina, arrastró a un equipo defensivo y picaresco hasta la final entre dramas de penales.","Maradona, em meia-forma, arrastou um time defensivo e cínico até a final em meio a dramas de pênaltis."
1990,Italy,West Germany,Champion,5,"Beckenbauer's powerful, well-drilled side won it all, avenging the 1986 final against Argentina.","El equipo poderoso y bien armado de Beckenbauer se quedó con todo, vengando la final de 1986 ante Argentina.","O time poderoso e bem treinado de Beckenbauer levou tudo, vingando a final de 1986 contra a Argentina."
1990,Italy,England,4th place,4,"Gazza's tears and a semifinal shootout heartbreak; brave, beloved, fourth.","Las lágrimas de Gazza y el desgarro de una semifinal por penales; valientes, queridos, cuartos.","As lágrimas de Gazza e a dor de uma semifinal nos pênaltis; corajosos, queridos, quartos."
1990,Italy,Italy,3rd place,4,Hosts and Toto Schillaci's wide-eyed goals lit up Italia '90; pride salvaged with third.,"Anfitriones, y los goles de ojos desorbitados de Toto Schillaci encendieron Italia '90; orgullo a salvo con el tercero.","Anfitriões, e os gols de olhos arregalados de Toto Schillaci incendiaram a Itália '90; orgulho salvo com o terceiro."
1994,United States,Brazil,Champion,5,"Romário and Bebeto's 'cradle' celebration; pragmatic but lethal, champions on penalties after 24 years.","Romário y el festejo de la 'cuna' de Bebeto; pragmáticos pero letales, campeones por penales tras 24 años.","Romário e a comemoração do 'ninar' de Bebeto; pragmáticos mas letais, campeões nos pênaltis após 24 anos."
1994,United States,Italy,Runner-up,5,"Roberto Baggio almost won it alone, then skied the decisive penalty; agonising runners-up.","Roberto Baggio casi lo gana solo, y luego mandó el penal decisivo a las nubes; subcampeones con dolor.","Roberto Baggio quase venceu sozinho, e então mandou o pênalti decisivo para o céu; vice angustiante."
1994,United States,Bulgaria,4th place,4,"Stoichkov inspired the run of a lifetime, stunning Germany on the way to a shock fourth.","Stoichkov inspiró la campaña de su vida, eliminando a Alemania camino a un sorprendente cuarto puesto.","Stoichkov inspirou a campanha da vida, eliminando a Alemanha rumo a um surpreendente quarto lugar."
1994,United States,Sweden,3rd place,4,"Brolin and Dahlin's bold, attacking Swedes thrilled their way to third.",Los suecos atrevidos y ofensivos de Brolin y Dahlin se divirtieron camino al tercer puesto.,Os suecos ousados e ofensivos de Brolin e Dahlin se divertiram rumo ao terceiro lugar.
1998,France,Brazil,Runner-up,5,Ronaldo's mysterious final illness shadowed a star-studded side that fell short as runners-up.,La misteriosa dolencia de Ronaldo en la final ensombreció a un equipo plagado de estrellas que cayó subcampeón.,O misterioso mal-estar de Ronaldo na final ofuscou um time recheado de estrelas que ficou com o vice.
1998,France,France,Champion,5,"Hosts and first-time champions; Zidane's two header goals crowned a golden, multicultural generation.",Anfitriones y campeones por primera vez; los dos cabezazos de Zidane coronaron a una generación dorada y diversa.,Anfitriões e campeões pela primeira vez; os dois gols de cabeça de Zidane coroaram uma geração dourada e diversa.
1998,France,Croatia,3rd place,4,Dazzling debutants: Davor Šuker won the Golden Boot as a brand-new nation stormed to third.,Deslumbrantes debutantes: Davor Šuker fue botín de oro mientras una nación flamante se metía tercera.,Estreantes deslumbrantes: Davor Šuker foi o artilheiro enquanto uma nação novíssima cravava o terceiro lugar.
1998,France,Netherlands,4th place,4,Bergkamp's sublime last-minute touch lit up a stylish Dutch side that took fourth.,El sublime control de último minuto de Bergkamp iluminó a una elegante Holanda que terminó cuarta.,O sublime toque no último minuto de Bergkamp iluminou uma elegante Holanda que ficou em quarto.
2002,South Korea / Japan,Brazil,Champion,5,"The three Rs—Ronaldo, Rivaldo, Ronaldinho—danced to a fifth title; Ronaldo's redemption complete.","Las tres R —Ronaldo, Rivaldo, Ronaldinho— bailaron hacia el quinto título; la redención de Ronaldo, completa.","Os três R — Ronaldo, Rivaldo, Ronaldinho — dançaram rumo ao penta; a redenção de Ronaldo, completa."
2002,South Korea / Japan,Germany,Runner-up,5,Oliver Kahn carried a workmanlike Germany to the final almost on his own before meeting Ronaldo.,"Oliver Kahn cargó casi solo a una Alemania obrera hasta la final, antes de toparse con Ronaldo.","Oliver Kahn carregou quase sozinho uma Alemanha operária até a final, antes de encarar Ronaldo."
2002,South Korea / Japan,South Korea,4th place,4,"Hiddink's tireless co-hosts shocked Italy and Spain, riding a red wave to a historic fourth.","Los incansables coanfitriones de Hiddink eliminaron a Italia y España, en una marea roja hasta un histórico cuarto puesto.","Os incansáveis co-anfitriões de Hiddink eliminaram Itália e Espanha, numa onda vermelha até um histórico quarto lugar."
2002,South Korea / Japan,Turkey,3rd place,4,Şükür scored the fastest goal in World Cup history as a thrilling Turkey raced to third.,Şükür marcó el gol más rápido en la historia de los Mundiales mientras una vibrante Turquía llegaba tercera.,Şükür fez o gol mais rápido da história das Copas enquanto uma vibrante Turquia chegava em terceiro.
2002,South Korea / Japan,Senegal,Quarterfinals,3,Dreadlocked debutants who stunned holders France on day one and danced all the way to the quarterfinals.,Debutantes de rastas que sorprendieron a la campeona Francia en el debut y bailaron hasta cuartos de final.,Estreantes de dreadlocks que surpreenderam a campeã França na estreia e dançaram até as quartas de final.
2002,South Korea / Japan,Spain,Quarterfinals,3,"Talented but star-crossed, Spain again bowed out in the quarterfinals amid refereeing controversy.","Talentosos pero gafados, España volvió a despedirse en cuartos entre polémicas arbitrales.","Talentosos mas azarados, a Espanha caiu de novo nas quartas em meio a polêmicas de arbitragem."
2002,South Korea / Japan,United States,Quarterfinals,3,"A spirited American run to the quarterfinals, unlucky to go out to Germany.","Una aguerrida campaña estadounidense hasta cuartos, con mala suerte de caer ante Alemania.","Uma aguerrida campanha americana até as quartas, azarada ao cair diante da Alemanha."
2002,South Korea / Japan,Japan,Round of 16,2,Co-hosts who delighted home fans and reached the knockouts for the first time.,Coanfitriones que deleitaron a su gente y llegaron por primera vez a la fase final.,Co-anfitriões que encantaram a torcida e chegaram pela primeira vez ao mata-mata.
2006,Germany,France,Runner-up,5,"Zidane's farewell ended in the infamous headbutt; an aging, brilliant side fell at the last.",La despedida de Zidane terminó en el infame cabezazo; un equipo veterano y brillante cayó en el final.,A despedida de Zidane terminou na infame cabeçada; um time veterano e brilhante caiu no fim.
2006,Germany,Italy,Champion,5,Cannavaro's iron defence conceded almost nothing; champions through nerve and a flawless final shootout.,La defensa de hierro de Cannavaro casi no recibió goles; campeones a base de temple y una final perfecta por penales.,A defesa de ferro de Cannavaro quase não sofreu gols; campeões na raça e numa final impecável nos pênaltis.
2006,Germany,Germany,3rd place,4,"Klinsmann's young hosts reignited a nation with fearless attacking football, taking third.","Los jóvenes anfitriones de Klinsmann reavivaron a un país con un fútbol ofensivo y sin miedo, terceros.","Os jovens anfitriões de Klinsmann reacenderam um país com futebol ofensivo e destemido, em terceiro."
2006,Germany,Portugal,4th place,4,Figo and a young Cristiano Ronaldo led the Golden Generation's deepest run to fourth.,"Figo y un joven Cristiano Ronaldo llevaron a la Generación Dorada a su mejor campaña, cuartos.","Figo e um jovem Cristiano Ronaldo levaram a Geração de Ouro à sua melhor campanha, em quarto."
2006,Germany,Argentina,Quarterfinals,3,"Crespo, Riquelme and a 24-pass team goal vs Serbia; brilliant going forward, out on penalties in the quarters.","Crespo, Riquelme y un golazo colectivo de 24 pases a Serbia; brillantes en ataque, fuera en cuartos por penales.","Crespo, Riquelme e um gol coletivo de 24 toques contra a Sérvia; brilhantes no ataque, fora nas quartas nos pênaltis."
2006,Germany,Brazil,Quarterfinals,3,"Ronaldinho at his peak headlined a glittering but flat Brazil, ambushed by France in the quarters.","Ronaldinho en su cúspide encabezó a un Brasil rutilante pero apagado, emboscado por Francia en cuartos.","Ronaldinho no auge liderou um Brasil estrelado mas apagado, emboscado pela França nas quartas."
2006,Germany,Ghana,Round of 16,2,"The Black Stars' fearless debut, reaching the last 16 and announcing a new African power.","El debut sin miedo de las Estrellas Negras, llegando a octavos y anunciando una nueva potencia africana.","A estreia destemida dos Black Stars, chegando às oitavas e anunciando uma nova potência africana."
2006,Germany,Mexico,Round of 16,2,"Stubborn and well-organised, El Tri pushed Argentina to extra time in the last 16.","Tercos y bien ordenados, El Tri llevó a Argentina al alargue en octavos.","Teimosos e bem organizados, o Tri levou a Argentina à prorrogação nas oitavas."
2010,South Africa,Netherlands,Runner-up,5,"Ruthless, sometimes brutal finalists who abandoned beauty for results and fell agonisingly short.","Finalistas implacables, a veces brutales, que cambiaron la belleza por el resultado y se quedaron al borde.","Finalistas implacáveis, às vezes brutais, que trocaram a beleza pelo resultado e ficaram à beira."
2010,South Africa,Spain,Champion,5,"Tiki-taka perfected: Xavi and Iniesta passed everyone dizzy, and La Roja won a first star with Iniesta's late strike.","El tiki-taka perfeccionado: Xavi e Iniesta marearon a todos, y La Roja ganó su primera estrella con el tanto tardío de Iniesta.","O tiki-taka aperfeiçoado: Xavi e Iniesta tonteavam todos, e La Roja ganhou a primeira estrela com o gol tardio de Iniesta."
2010,South Africa,Germany,3rd place,4,"A thrilling young Germany—Özil, Müller, Khedira—played the most exciting football and took third.","Una Alemania joven y vibrante —Özil, Müller, Khedira— jugó el fútbol más emocionante y fue tercera.","Uma Alemanha jovem e vibrante — Özil, Müller, Khedira — jogou o futebol mais empolgante e ficou em terceiro."
2010,South Africa,Uruguay,4th place,4,Forlán's Golden Ball and Suárez's drama drove a fighting Celeste to a stunning fourth place.,El Balón de Oro de Forlán y el drama de Suárez impulsaron a una Celeste guerrera a un sorprendente cuarto puesto.,A Bola de Ouro de Forlán e o drama de Suárez levaram uma Celeste guerreira a um surpreendente quarto lugar.
2010,South Africa,Argentina,Quarterfinals,3,"Maradona on the bench, Messi and Tévez up front; dazzling until a 4-0 quarterfinal collapse to Germany.","Maradona en el banco, Messi y Tévez en ataque; deslumbrantes hasta un 0-4 en cuartos ante Alemania.","Maradona no banco, Messi e Tevez no ataque; deslumbrantes até um 4-0 nas quartas para a Alemanha."
2010,South Africa,Ghana,Quarterfinals,3,Heartbreak heroes: seconds from being the first African semifinalists until Suárez's handball and a missed penalty.,Héroes del desconsuelo: a segundos de ser los primeros semifinalistas africanos hasta la mano de Suárez y un penal fallado.,Heróis do desgosto: a segundos de serem os primeiros semifinalistas africanos até a mão de Suárez e um pênalti perdido.
2010,South Africa,Japan,Round of 16,2,"Disciplined and brave, the Blue Samurai reached the last 16 and fell only on penalties.","Disciplinados y valientes, los Samuráis Azules llegaron a octavos y cayeron solo por penales.","Disciplinados e corajosos, os Samurais Azuis chegaram às oitavas e caíram apenas nos pênaltis."
2010,South Africa,South Africa,Group stage,1,The host nation lit up the vuvuzela carnival but became the first hosts ever eliminated in the group stage.,El anfitrión encendió el carnaval de vuvuzelas pero fue el primer local eliminado en fase de grupos.,O país-sede acendeu o carnaval das vuvuzelas mas foi o primeiro anfitrião eliminado na fase de grupos.
2014,Brazil,Argentina,Runner-up,5,"Messi dragged a defensive side to the final and won the Golden Ball, but glory slipped away in extra time.","Messi arrastró a un equipo defensivo hasta la final y ganó el Balón de Oro, pero la gloria se escapó en el alargue.","Messi arrastou um time defensivo até a final e ganhou a Bola de Ouro, mas a glória escapou na prorrogação."
2014,Brazil,Germany,Champion,5,"Total dominance, sealed by the 7-1 demolition of host Brazil; Götze's extra-time goal won a fourth star.","Dominio absoluto, sellado con el 7-1 a la anfitriona Brasil; el gol en el alargue de Götze trajo la cuarta estrella.","Domínio absoluto, selado com o 7-1 sobre a anfitriã Brasil; o gol na prorrogação de Götze trouxe a quarta estrela."
2014,Brazil,Brazil,4th place,4,"Hosts whose dream collapsed in the 7-1 nightmare without Neymar; fourth, and scarred forever.","Anfitriones cuyo sueño se derrumbó en la pesadilla del 7-1 sin Neymar; cuartos, y marcados para siempre.","Anfitriões cujo sonho ruiu no pesadelo do 7 a 1 sem Neymar; quartos, e marcados para sempre."
2014,Brazil,Netherlands,3rd place,4,"Van Gaal's counter-attacking Dutch, fired by Robben's blazing pace, took a tidy third.","La Holanda de contraataque de Van Gaal, encendida por la velocidad de Robben, se llevó un prolijo tercer puesto.","A Holanda de contra-ataque de Van Gaal, incendiada pela velocidade de Robben, ficou num caprichado terceiro."
2014,Brazil,Colombia,Quarterfinals,3,"James Rodríguez's stunning volley and a joyful, dancing Colombia thrilled their way to the quarterfinals.",La espectacular volea de James Rodríguez y una Colombia alegre y bailarina deleitaron hasta cuartos de final.,O voleio espetacular de James Rodríguez e uma Colômbia alegre e dançante encantaram até as quartas de final.
2014,Brazil,Costa Rica,Quarterfinals,3,"The ultimate shock: Los Ticos topped a group of Italy, England and Uruguay and reached the last eight.","El batacazo total: Los Ticos ganaron un grupo con Italia, Inglaterra y Uruguay y llegaron a cuartos.","O batacazo total: os Ticos venceram um grupo com Itália, Inglaterra e Uruguai e chegaram às quartas."
2014,Brazil,Chile,Round of 16,2,Bielsa's legacy and Sánchez's energy: a fierce pressing Chile that knocked out champions Spain.,El legado de Bielsa y la energía de Sánchez: un Chile de presión feroz que eliminó a la campeona España.,O legado de Bielsa e a energia de Sánchez: um Chile de pressão feroz que eliminou a campeã Espanha.
2014,Brazil,United States,Round of 16,2,Klinsmann's gritty USA survived the 'Group of Death' and battled into the last 16.,El aguerrido Estados Unidos de Klinsmann sobrevivió al 'Grupo de la Muerte' y peleó hasta octavos.,Os aguerridos Estados Unidos de Klinsmann sobreviveram ao 'Grupo da Morte' e brigaram até as oitavas.
